Date,Price,Open,High,Low,Vol.,Change %
9/29/2017,1.3396,1.3443,1.3446,1.335,,-0.33%
9/28/2017,1.344,1.3386,1.3457,1.3343,,0.42%
9/27/2017,1.3384,1.3459,1.3463,1.3363,,-0.54%
9/26/2017,1.3456,1.3467,1.3516,1.3409,,-0.07%
9/25/2017,1.3465,1.3493,1.3572,1.343,,-0.19%
9/22/2017,1.3491,1.3581,1.3597,1.345,,-0.64%
9/21/2017,1.3578,1.3493,1.3588,1.347,,0.64%
9/20/2017,1.3492,1.351,1.3657,1.3452,,-0.11%
9/19/2017,1.3507,1.3495,1.3553,1.3468,,0.11%
9/18/2017,1.3492,1.3577,1.362,1.3465,,-0.73%
9/15/2017,1.3591,1.3398,1.3617,1.3381,,1.46%
9/14/2017,1.3395,1.3211,1.3407,1.3162,,1.41%
9/13/2017,1.3209,1.3283,1.333,1.3184,,-0.55%
9/12/2017,1.3282,1.3163,1.33,1.316,,0.91%
9/11/2017,1.3162,1.3204,1.3224,1.316,,-0.27%
9/8/2017,1.3197,1.3101,1.3226,1.3093,,0.75%
9/7/2017,1.3099,1.3043,1.3117,1.3032,,0.44%
9/6/2017,1.3041,1.3032,1.3083,1.3018,,0.08%
9/5/2017,1.3031,1.2927,1.3044,1.2908,,0.77%
9/4/2017,1.2931,1.296,1.2968,1.2912,,-0.14%
9/1/2017,1.2949,1.2932,1.2997,1.2904,,0.15%
8/31/2017,1.2929,1.2928,1.2936,1.2852,,0.04%
8/30/2017,1.2924,1.2919,1.294,1.2878,,0.04%
8/29/2017,1.2919,1.2933,1.298,1.2914,,-0.09%
8/28/2017,1.2931,1.2902,1.2948,1.2873,,0.36%
8/25/2017,1.2884,1.2801,1.289,1.2793,,0.66%
8/24/2017,1.2799,1.2801,1.2838,1.2773,,0.01%
8/23/2017,1.2798,1.2824,1.2835,1.2778,,-0.19%
8/22/2017,1.2823,1.29,1.2911,1.2809,,-0.59%
8/21/2017,1.2899,1.287,1.2918,1.2849,,0.22%
8/18/2017,1.2871,1.2867,1.2918,1.283,,0.06%
8/17/2017,1.2863,1.2891,1.2912,1.2852,,-0.19%
8/16/2017,1.2888,1.287,1.2904,1.2841,,0.15%
8/15/2017,1.2869,1.2965,1.2974,1.2845,,-0.73%
8/14/2017,1.2963,1.2993,1.3024,1.2957,,-0.37%
8/11/2017,1.3011,1.2977,1.3032,1.2939,,0.29%
8/10/2017,1.2974,1.3002,1.3018,1.2952,,-0.23%
8/9/2017,1.3004,1.2992,1.303,1.2967,,0.12%
8/8/2017,1.2989,1.3035,1.3057,1.2952,,-0.33%
8/7/2017,1.3032,1.3028,1.3064,1.3013,,-0.02%
8/4/2017,1.3035,1.3139,1.3165,1.3023,,-0.78%
8/3/2017,1.3137,1.3223,1.3266,1.3112,,-0.64%
8/2/2017,1.3221,1.3204,1.3251,1.319,,0.17%
8/1/2017,1.3199,1.3215,1.3245,1.319,,-0.10%
7/31/2017,1.3212,1.3133,1.3225,1.3096,,0.62%
7/28/2017,1.3131,1.3065,1.3153,1.3058,,0.50%
7/27/2017,1.3066,1.3121,1.316,1.3053,,-0.40%
7/26/2017,1.3119,1.3021,1.3125,1.3001,,0.74%
7/25/2017,1.3023,1.3029,1.3085,1.3007,,-0.02%
7/24/2017,1.3026,1.2985,1.3057,1.2985,,0.26%
7/21/2017,1.2992,1.2973,1.3022,1.2952,,0.17%
7/20/2017,1.297,1.3022,1.3035,1.2932,,-0.36%
7/19/2017,1.3017,1.3038,1.3054,1.3009,,-0.16%
7/18/2017,1.3038,1.3057,1.3127,1.3004,,-0.12%
7/17/2017,1.3054,1.3102,1.3114,1.3045,,-0.31%
7/14/2017,1.3095,1.294,1.3115,1.2933,,1.24%
7/13/2017,1.2935,1.2884,1.2956,1.2877,,0.41%
7/12/2017,1.2882,1.2847,1.2908,1.281,,0.30%
7/11/2017,1.2844,1.2881,1.2928,1.283,,-0.24%
7/10/2017,1.2875,1.2885,1.291,1.2855,,-0.11%
7/7/2017,1.2889,1.297,1.2976,1.2865,,-0.62%
7/6/2017,1.2969,1.2935,1.2984,1.2919,,0.27%
7/5/2017,1.2934,1.2917,1.295,1.2892,,0.14%
7/4/2017,1.2916,1.2938,1.296,1.291,,-0.15%
